K,maxkv,static_vram_mb
16,4096,3993.4
16,8192,4161.2
16,16384,4496.8
16,32768,5167.9
16,49152,5838.9
16,65536,6510.0
16,81920,7181.1
16,98304,7852.2
16,131072,9194.4
24,4096,4601.6
24,8192,4769.4
24,16384,5104.9
24,32768,5776.0
24,49152,6447.1
24,65536,7118.2
24,81920,7789.3
24,98304,8460.4
24,131072,9802.6
32,4096,5209.8
32,8192,5377.6
32,16384,5713.1
32,32768,6384.2
32,49152,7055.3
32,65536,7726.4
32,81920,8397.5
32,98304,9068.6
32,131072,10410.7
48,4096,6426.1
48,8192,6593.9
48,16384,6929.5
48,32768,7600.5
48,49152,8271.6
48,65536,8942.7
48,81920,9613.8
48,98304,10284.9
48,131072,11627.1
64,4096,7642.5
64,8192,7810.3
64,16384,8145.8
64,32768,8816.9
64,49152,9488.0
64,65536,10159.1
64,81920,10830.2
64,98304,11501.3
64,131072,12843.4
